GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
IKE Doc Maven Plugin,network.ike.docs.plugin,PatchDocbookMojo,18,91,2,4,4,22,2,7,0,6
IKE Doc Maven Plugin,network.ike.docs.plugin,ScanRendererLogsMojo,18,187,4,18,5,46,4,15,0,8
IKE Doc Maven Plugin,network.ike.docs.plugin,AdocStudioMojo,305,20,16,4,67,5,16,4,8,2
IKE Doc Maven Plugin,network.ike.docs.plugin,PrepareRendererOutputMojo,117,0,18,0,19,0,13,0,4,0
IKE Doc Maven Plugin,network.ike.docs.plugin,PackageDocMojo.new SimpleFileVisitor() {...},0,39,0,0,0,8,0,2,0,2
IKE Doc Maven Plugin,network.ike.docs.plugin,OutputValidator,370,0,107,0,62,0,59,0,5,0
IKE Doc Maven Plugin,network.ike.docs.plugin,RenderPdfMojo,697,0,77,0,159,0,57,0,15,0
IKE Doc Maven Plugin,network.ike.docs.plugin,CopyDocsToSiteMojo,139,0,10,0,32,0,11,0,6,0
IKE Doc Maven Plugin,network.ike.docs.plugin,Backend,74,0,6,0,16,0,10,0,6,0
IKE Doc Maven Plugin,network.ike.docs.plugin,InjectBreadcrumbMojo,54,151,6,14,10,38,5,13,0,8
IKE Doc Maven Plugin,network.ike.docs.plugin,LintSiteMojo,114,140,12,18,25,35,11,10,3,3
IKE Doc Maven Plugin,network.ike.docs.plugin,CopyDefaultPdfMojo,112,0,8,0,28,0,8,0,4,0
IKE Doc Maven Plugin,network.ike.docs.plugin,FixSvgMojo,23,78,2,6,6,22,2,7,0,5
IKE Doc Maven Plugin,network.ike.docs.plugin,OutputValidator.Issue,42,0,0,0,2,0,2,0,2,0
IKE Doc Maven Plugin,network.ike.docs.plugin,OutputValidator.new SimpleFileVisitor() {...},34,0,2,0,4,0,3,0,2,0
IKE Doc Maven Plugin,network.ike.docs.plugin,IdocGoal,35,131,4,0,6,20,6,4,4,4
IKE Doc Maven Plugin,network.ike.docs.plugin,AsciidocMojo,968,0,124,0,206,0,84,0,20,0
IKE Doc Maven Plugin,network.ike.docs.plugin,OutputValidator.Severity,15,0,0,0,3,0,1,0,1,0
IKE Doc Maven Plugin,network.ike.docs.plugin,PackageDocMojo,95,31,4,2,24,6,6,2,4,1
IKE Doc Maven Plugin,network.ike.docs.plugin,AsciidocMojo.MavenLogHandler,89,0,16,0,22,0,10,0,2,0
IKE Doc Maven Plugin,network.ike.docs.plugin,RenderPdfMojo.RendererType,59,0,0,0,11,0,3,0,3,0
